	strain	gisaid_epi_isl	originating_lab	submitting_lab	author
4582	hCoV-19/SriLanka/aicbu910/2021	EPI_ISL_3534259	Allergy, Immunology and Cell Biology Unit (AICBU)	Allergy, Immunology and Cell Biology Unit (AICBU)	Chandima Jeewandara, Deshni Jayathilaka, Dumni Gunasinghe, Tibutius Thanesh, Dinuka Ariyarathne, Ayesha Wijesinghe, Diyanath Ranasinghe, Gathsaurie Neelika Malavige
4583	hCoV-19/SriLanka/aicbu1065/2021	EPI_ISL_3720852	Allergy, Immunology and Cell Biology Unit (AICBU)	Allergy, Immunology and Cell Biology Unit (AICBU)	Chandima Jeewandara, Deshni Jayathilaka, Dumni Gunasinghe, Tibutius Thanesh, Dinuka Ariyarathne, Ayesha Wijesinghe, Diyanath Ranasinghe, Gathsaurie Neelika Malavige
4584	hCoV-19/Ghana/WACCBIP-GS1115/2021	EPI_ISL_3268143	WACCBIP, University of Ghana, Accra, Ghana	WACCBIP, University of Ghana, Volta Road, Legon-Accra, Ghana	Collins M. Morang'a, Joyce M. Ngoi, Dominic S. Y. Amuzu, Vincent Appiah, Evelyn B. Quansah, Samirah Saiid, Bright K. Yemi, Israel Osei-Wusu, Deborah N. A. Mettle, Philip M. Soglo, Violette V. M’cormack, Paul Owusu-Oduro, Samuel Armoo, Oliver Commey, Sylvester Dassah, Victor Asoala, Richard Odame Phillips, Michael Owusu, Frederick M. Tei-Maya, Joe K. Mutungi, Nicaise T. Ndam, William K. Ampofo, Yaw Bediako, Peter K. Quashie, Lucas N. Amenga-Etego, and Gordon A. Awandare,
4585	hCoV-19/Ghana/WACCBIP-GS1104/2021	EPI_ISL_3268166	WACCBIP, University of Ghana, Accra, Ghana	WACCBIP, University of Ghana, Volta Road, Legon-Accra, Ghana	Collins M. Morang'a, Joyce M. Ngoi, Dominic S. Y. Amuzu, Vincent Appiah, Evelyn B. Quansah, Samirah Saiid, Bright K. Yemi, Israel Osei-Wusu, Deborah N. A. Mettle, Philip M. Soglo, Violette V. M’cormack, Paul Owusu-Oduro, Samuel Armoo, Oliver Commey, Sylvester Dassah, Victor Asoala, Richard Odame Phillips, Michael Owusu, Frederick M. Tei-Maya, Joe K. Mutungi, Nicaise T. Ndam, William K. Ampofo, Yaw Bediako, Peter K. Quashie, Lucas N. Amenga-Etego, and Gordon A. Awandare,
4586	hCoV-19/Belgium/Briant-011107899802/2021	EPI_ISL_3233158	Heilig hart Lier	Imelda Ziekenhuis	Johan Frans, Hanne Valgaeren, Dagmar Obbels
4587	hCoV-19/Netherlands/BQ-RIVM-53809/2021	EPI_ISL_3917608	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer, Harry Vennema, Dirk Eggink, Jeroen Cremer, Sharon van den Brink, Bas van der Veer, AnneMarie van den Brandt, Lisa Wijsman, Kim Freriks, Ryanne Jaarsma, Euníce Then, Lynn Aarts, Sanne Bos, Stijn van Rossum, Florian Zwagemaker, Dennis Schmitz, Annelies Kroneman, Karim Hajji, Ivo van Walle, Chantal Reusken, on behalf of the national COVID-19 response team
4588	hCoV-19/Bonaire/-RIVM-51782/2021	EPI_ISL_3731349	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer, Harry Vennema, Dirk Eggink, Jeroen Cremer, Sharon van den Brink, Bas van der Veer, AnneMarie van den Brandt, Lisa Wijsman, Kim Freriks, Ryanne Jaarsma, Euníce Then, Lynn Aarts, Sanne Bos, Stijn van Rossum, Florian Zwagemaker, Dennis Schmitz, Annelies Kroneman, Karim Hajji, Chantal Reusken, on behalf of the national COVID-19 response team
4589	hCoV-19/Aruba/AW-RIVM-46307/2021	EPI_ISL_3138382	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer, Harry Vennema, Dirk Eggink, Jeroen Cremer, Sharon van den Brink, Bas van der Veer, AnneMarie van den Brandt, Lisa Wijsman, Kim Freriks, Ryanne Jaarsma, Euníce Then, Lynn Aarts, Sanne Bos, Melissa van Tuil, Florian Zwagemaker, Dennis Schmitz, Annelies Kroneman, Karim Hajji, Chantal Reusken, on behalf of the national COVID-19 response team
4590	hCoV-19/Norway/16812/2021	EPI_ISL_3691136	Haukeland University Hospital, Dept. of Microbiology	Norwegian Institute of Public Health, Department of Virology	Kathrine Stene-Johansen, Kamilla Heddeland Instefjord, Hilde Elshaug, Garcia Llorente Ignacio, Jon Bråte, Engebretsen Serina Beate,Pedersen Benedikte Nevjen, Line Victoria Moen, Debech Nadia, Atiya R Ali,Marie Paulsen Madsen, Rasmus Riis Kopperud, Hilde Vollan, Karoline Bragstad, Olav Hungnes
4591	hCoV-19/Norway/16947/2021	EPI_ISL_3834538	Haukeland University Hospital, Dept. of Microbiology	Norwegian Institute of Public Health, Department of Virology	Kathrine Stene-Johansen, Kamilla Heddeland Instefjord, Hilde Elshaug, Garcia Llorente Ignacio, Jon Bråte, Engebretsen Serina Beate,Pedersen Benedikte Nevjen, Line Victoria Moen, Debech Nadia, Atiya R Ali,Marie Paulsen Madsen, Rasmus Riis Kopperud, Hilde Vollan, Karoline Bragstad, Olav Hungnes
4592	hCoV-19/UnitedArabEmirates/AZ-USAFSAM-S4352/2021	EPI_ISL_3940088	US Air Force School of Aerospace Medicine	US Air Force School of Aerospace Medicine	Anthony Fries, Deanna Muehleman, Jennifer Meyer, William Gruner, Amanda Javorina, Carol Garrett, Sarah Purves, Clarise Starr, Elizabeth Macias
4593	hCoV-19/Italy/EMR-C070-21-18_full_variant_seq/2021	EPI_ISL_3876220	U.O. Microbiologia Laboratorio Unico Centro Servizi - AUSL della Romagna	U.O. Microbiologia, Laboratorio Unico Centro Servizi - AUSL della Romagna	Giorgio Dirani
4594	hCoV-19/India/WB-1930400531333/2021	EPI_ISL_3189257	INSACOG-WB	National Institute of Biomedical Genomics – INSACOG	Arindam Maitra, Bhaswati Bandyopadhyay, Nidhan Kumar Biswas, Tamal Ghosh, Sreedhar Chinnaswamy, Ajay Chakraborti, Saumitra Das
4595	hCoV-19/Albania/un-ChVir25862_15/2021	EPI_ISL_3123565	Unit of laboratory surveillance of viral emergent disease Control of Communicable Diseases Departament National Institute of Public Health Albania	Charité Universitätsmedizin Berlin, Institut für Virologie	Victor M Corman, Barbara Mühlemann, Jörn Beheim-Schwarzbach, Talitha Veith, Julia Schneider, Terry Jones, Iris Hasibra, Christian Drosten
4596	hCoV-19/Andorre/AND-CHU-TLS-2120014134/2021	EPI_ISL_3267068	HOPITAL NOSTRA SENYORA MERITXELL	CHU Purpan - Laboratoire de Virologie - Institut Fédératif de Biologie	Latour J., Jeanne N., Ranger N., Carcenac R., Harter A., Boyer P., Ferrer V., Tremeaux R., Izopet J.
4597	hCoV-19/Belgium/MBLGPF385984/2021	EPI_ISL_3920694	Cliniques universitaires Saint-Luc	UCLouvain/IREC/MBLG	Jean Ruelle, Bertrand Bearzatto, Benoit Kabamba Mukadi
4598	hCoV-19/Liberia/LIB-0069/2021	EPI_ISL_3547683	National Public Health Institute of Liberia Reference Lab	Center for Infection and Immunity, Columbia University	Bode Shobayo, Mitali Mishra, Komal Jain, Jane MaCauley, Thomas Briese, W. Ian Lipkin, Nischay Mishra
4599	hCoV-19/Russia/MOW-RII-MH29441S/2021	EPI_ISL_3086561	N.F. Gamaleya Research Center for Epidemiology and Microbiology	WHO National Influenza Centre Russian Federation	Andrey Komissarov, Artem Fadeev, Kseniya Komissarova, Oula Mansour, Kirill Varchenko, Mikhail Bakaev, Tamila Musaeva, Veronika Eder, Maria Pisareva, Nikita Yolshin, Daria Danilenko, Elizaveta Divisenko, Alina Odintsova, Elena Shidlovskaya, Ludmila Vasilchenko, Nadezhda Kuznetsova, Maria Nikiforova, Alexey Shchetinin, Artem Tkachuk, Andrei Pochtovyi, Andrei Siniavin, Denis Kleymenov, Evgeniia Bykonia, Liubov Popova, Elena Mazunina, Inna Dolzhikova, Anna Kovyrshina, Andrei Botikov, Dmitry Shcheblyakov, Vladimir Gushchin, Denis Logunov, Alexander Gintsburg, Ksenia Safina, Elena Nabieva, Georgii Bazykin, Dmitry Lioznov
4600	hCoV-19/Monaco/IPP20187/2021	EPI_ISL_3542963	Hospital	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Marion Barbet, Sylvie Behillil, Méline Bizard, Angela Brisebarre, Camille Capel, Vincent Enouf, Louise Lefrançois, Frédéric Lemoine, Christophe Malabat, Corinne Maufrais, Hub de Bioinformatique et Biostatistique, Etienne Simon-Lorière, Maud Vanpeene, Sylvie Van der Werf ,Olivier Dejoux
4601	hCoV-19/Belgium/AZDelta-02066-2135R/2021	EPI_ISL_3933467	AZDelta	AZ Delta Medical Laboratories in Roeselare, Belgium	Geert Martens, Dieter De Smet, Frederik Van Hoecke, on behalf of AZ Delta COVID-19 Genomics core (member of Genomic surveillance of SARS-CoV-2 in Belgium network)
4602	hCoV-19/Liberia/LIB-0074/2021	EPI_ISL_3547686	National Public Health Institute of Liberia Reference Lab	Center for Infection and Immunity, Columbia University	Bode Shobayo, Mitali Mishra, Komal Jain, Jane MaCauley, Thomas Briese, W. Ian Lipkin, Nischay Mishra
4603	hCoV-19/Australia/SA0753/2021	EPI_ISL_2839980	SA Pathology	SA Pathology	Caitlin Selway, Lex Leong, Chuan Kok Lim, Mark Turra, Ivan Bastian, Geoff Higgins
4604	hCoV-19/Liberia/LIB-0022/2021	EPI_ISL_3547671	National Public Health Institute of Liberia Reference Lab	Center for Infection and Immunity, Columbia University	Bode Shobayo, Mitali Mishra, Komal Jain, Jane MaCauley, Thomas Briese, W. Ian Lipkin, Nischay Mishra
4605	hCoV-19/Liberia/LIB-0032/2021	EPI_ISL_3547676	National Public Health Institute of Liberia Reference Lab	Center for Infection and Immunity, Columbia University	Bode Shobayo, Mitali Mishra, Komal Jain, Jane MaCauley, Thomas Briese, W. Ian Lipkin, Nischay Mishra
4606	hCoV-19/Liberia/LIB-0078/2021	EPI_ISL_3547688	National Public Health Institute of Liberia Reference Lab	Center for Infection and Immunity, Columbia University	Bode Shobayo, Mitali Mishra, Komal Jain, Jane MaCauley, Thomas Briese, W. Ian Lipkin, Nischay Mishra
4607	hCoV-19/Liberia/LIB-0085/2021	EPI_ISL_3547690	National Public Health Institute of Liberia Reference Lab	Center for Infection and Immunity, Columbia University	Bode Shobayo, Mitali Mishra, Komal Jain, Jane MaCauley, Thomas Briese, W. Ian Lipkin, Nischay Mishra
4608	hCoV-19/Aruba/-RIVM-51788/2021	EPI_ISL_3731570	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer, Harry Vennema, Dirk Eggink, Jeroen Cremer, Sharon van den Brink, Bas van der Veer, AnneMarie van den Brandt, Lisa Wijsman, Kim Freriks, Ryanne Jaarsma, Euníce Then, Lynn Aarts, Sanne Bos, Stijn van Rossum, Florian Zwagemaker, Dennis Schmitz, Annelies Kroneman, Karim Hajji, Chantal Reusken, on behalf of the national COVID-19 response team
4609	hCoV-19/Bulgaria/21BG-EU_003837_Pl33/2021	EPI_ISL_3232659	National Center of Infectious and Parasitic Diseases	National Center of Infectious and Parasitic Diseases	Alexiev et al
4610	hCoV-19/Bulgaria/21BG-EU_004279_Pl37/2021	EPI_ISL_3796557	National Center of Infectious and Parasitic Diseases	National Center of Infectious and Parasitic Diseases	Alexiev et al
4611	hCoV-19/Bulgaria/21BG-EU_004346_Pl37/2021	EPI_ISL_3796762	National Center of Infectious and Parasitic Diseases	National Center of Infectious and Parasitic Diseases	Alexiev et al
4612	hCoV-19/Liberia/LIB-0143/2021	EPI_ISL_3547704	National Public Health Institute of Liberia Reference Lab	Center for Infection and Immunity, Columbia University	Bode Shobayo, Mitali Mishra, Komal Jain, Jane MaCauley, Thomas Briese, W. Ian Lipkin, Nischay Mishra
4613	hCoV-19/Canada/QC-L00367587001/2021	EPI_ISL_3459203	Laboratoire de santé publique du Québec	Laboratoire de santé publique du Québec	Sandrine Moreira, Ioannis Ragoussis, Guillaume Bourque, Jesse Shapiro, Mark Lathrop and Michel Roger on behalf of the CoVSeQ research group
4614	hCoV-19/Liberia/LIB-0019/2021	EPI_ISL_3547669	National Public Health Institute of Liberia Reference Lab	Center for Infection and Immunity, Columbia University	Bode Shobayo, Mitali Mishra, Komal Jain, Jane MaCauley, Thomas Briese, W. Ian Lipkin, Nischay Mishra
4615	hCoV-19/Israel/SMC-7006301/2021	EPI_ISL_3024360	Shamir Medical Center (Asaf Harofe)	Shamir Medical Center (Asaf Harofe)	Nir Rainy,Chen Weiner,Reut Sorek Abramovich,Yevgeni Yegorov,Anna Vishnevsky,Patricia Benveniste-Lekovitz,Abu Hamad Ramzia,Adina Bar Chaim
4616	hCoV-19/Liberia/LIB-0084/2021	EPI_ISL_3547689	National Public Health Institute of Liberia Reference Lab	Center for Infection and Immunity, Columbia University	Bode Shobayo, Mitali Mishra, Komal Jain, Jane MaCauley, Thomas Briese, W. Ian Lipkin, Nischay Mishra
4617	hCoV-19/Japan/IC-1389/2021	EPI_ISL_2828265	SARS-CoV-2 testing team, National Institute of Infectious Diseases	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka, Kentaro Itokawa, Rina Tanaka, Masanori Hashino, Nozomu Hanaoka, Masumichi Saito, Naomi Nojiri, Hazuka Y Furihata, Hiromizu Takahashi, Tsuguto Fujimoto, Makoto Kuroda
4618	hCoV-19/Liberia/LIB-0076/2021	EPI_ISL_3547687	National Public Health Institute of Liberia Reference Lab	Center for Infection and Immunity, Columbia University	Bode Shobayo, Mitali Mishra, Komal Jain, Jane MaCauley, Thomas Briese, W. Ian Lipkin, Nischay Mishra
4619	hCoV-19/Liberia/LIB-0028/2021	EPI_ISL_3547673	National Public Health Institute of Liberia Reference Lab	Center for Infection and Immunity, Columbia University	Bode Shobayo, Mitali Mishra, Komal Jain, Jane MaCauley, Thomas Briese, W. Ian Lipkin, Nischay Mishra
4620	hCoV-19/SouthAfrica/NICD-N10767/2021	EPI_ISL_2987317	ERMELO LABORATORY	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN
4621	hCoV-19/SouthAfrica/KRISP-K019049/2021	EPI_ISL_2893316	BARC - Sisonke	KRISP, KZN Research Innovation and Sequencing Platform	Sisonke, Giandhari Jennifer, Pillay Sureshnee, Yajna Ramphal, Naidoo Yeshnee, Tshabuila Derek,Tegally Houriiyah, San James, Wilkinson Eduan, de Oliveira Tulio
4622	hCoV-19/Luxembourg/LNS1594395/2021	EPI_ISL_3147860	Laboratoires d'analyses medicales - Ketterthill	Laboratoire national de sante, Microbiology, Microbial Genomics Platform	Anke Wienecke-Baldacchino, Catherine Ragimbeau,Jessica Tapp, Fatu Djabi, Lise Pignon, Raoul Salmon, Virginie Jover, Elodie Solarino, Serge Vedy, Caroline Scheiber, Tamir Abdelrahman
4623	hCoV-19/Sweden/SE00592007/2021	EPI_ISL_2980343	Swedish national genomic surveillance program of SARS-CoV-2	The Public Health Agency of Sweden	Maximilian Riess, Maria Lind Karlberg, Alma Brolund, Swedish national genomic surveillance program of SARS-CoV-2
4624	hCoV-19/SouthAfrica/NICD-N9754/2021	EPI_ISL_2895757	MIDDELBURG LABORATORY	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN
4625	hCoV-19/Croatia/6749/2021	EPI_ISL_3061333	Hrvatski zavod za javno zdravstvo	Hrvatski zavod za javno zdravstvo	Irena Tabain, Ivana Ferenčak
4626	hCoV-19/Croatia/6750/2021	EPI_ISL_3061334	Hrvatski zavod za javno zdravstvo	Hrvatski zavod za javno zdravstvo	Irena Tabain, Ivana Ferenčak
4627	hCoV-19/Australia/QLD2001/2021	EPI_ISL_2842839	Queensland Health Forensic and Scientific Services	Queensland Health Forensic and Scientific Services	Son Nguyen
4628	hCoV-19/SouthAfrica/NICD-N10839/2021	EPI_ISL_2987240	TSHEPONG LABORATORY	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN
4629	hCoV-19/SouthAfrica/NICD-N12529/2021	EPI_ISL_3342163	TSHEPONG LABORATORY	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN
4630	hCoV-19/Netherlands/ZH-RIVM-41713/2021	EPI_ISL_2862935	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer, Harry Vennema, Dirk Eggink, Jeroen Cremer, Sharon van den Brink, Bas van der Veer, AnneMarie van den Brandt, Lisa Wijsman, Kim Freriks, Ryanne Jaarsma, Euníce Then, Lynn Aarts, Sanne Bos, Melissa van Tuil, Florian Zwagemaker, Dennis Schmitz, Annelies Kroneman, Karim Hajji, Chantal Reusken, on behalf of the national COVID-19 response team
4631	hCoV-19/SouthAfrica/NICD-N10337/2021	EPI_ISL_3073903	Lancet Laboratory	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN
4632	hCoV-19/SouthAfrica/NICD-R11793/2021	EPI_ISL_3643893	National Institute for Communicable Diseases of the National Health Laboratory Service	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN
4633	hCoV-19/SouthAfrica/UFS-VIRO-NGS-ONP180821NB83/2021	EPI_ISL_3746876	NHLS Universitas Academic	UFS Virology	PA Bester, MM Nyaga, P Nthiga, MT Mogotsi, Emmanuel Ogunbayo, D Goedhals, T de Oliveira
4634	hCoV-19/Ireland/U-NVRL-G21IRL77210/2021	EPI_ISL_3911803	National Virus Reference Laboratory	National Virus Reference Laboratory	Zoe Yandle, Charlene Bennett, Gabriel Gonzalez, Michael Carr, Jonathan Dean, Cillian F De Gascun
4635	hCoV-19/Sweden/SUS0003631/2021	EPI_ISL_3551029	Clinical Microbiology, Infection Prevention and Control	Section for Molecular Diagnostics	Björn Hallström, Jonas Björkman
4636	hCoV-19/Israel/SMC-7012660/2021	EPI_ISL_3834983	Shamir Medical Center (Asaf Harofe)	Shamir Medical Center (Asaf Harofe)	Nir Rainy,Chen Weiner,Reut Sorek Abramovich,Yevgeni Yegorov,Anna Vishnevsky,Patricia Benveniste-Lekovitz,Abu Hamad Ramzia,Adina Bar Chaim
4637	hCoV-19/SouthAfrica/Tygerberg_2054/2021	EPI_ISL_3666740	Division of Medical Virology, National Health Laboratory Service (NHLS), Tygerberg Hospital / Stellenbosch University	Division of Medical Virology, National Health Laboratory Service (NHLS), Tygerberg Hospital / Stellenbosch University	Susan Engelbrecht, Tongai Maponga, Bronwyn Kleinhans, Shannon Wilson, Kamela Mahlakwane, Gert van Zyl, Wolfgang Preiser
4638	hCoV-19/SouthAfrica/NHLS-UCT-GS-C174/2021	EPI_ISL_2877000	Mitchells Plain Hospital wc MPH	NHLS/UCT	Arash Iranzadeh, Deelan Doolabh, Lynn Tyers, Bruna Galvao, Innocent Mudau, Marvin Hsiao, Gert Marais, Diana Hardie, Stephen Korsman, Carolyn Williamson
4639	hCoV-19/SouthAfrica/Tygerberg_1254/2021	EPI_ISL_3032463	Division of Medical Virology, National Health Laboratory Service (NHLS), Tygerberg Hospital / Stellenbosch University	Division of Medical Virology, National Health Laboratory Service (NHLS), Tygerberg Hospital / Stellenbosch University	Susan Engelbrecht, Tongai Maponga, Kamela Mahlakwane, Gert van Zyl, Wolfgang Preiser
4640	hCoV-19/SouthAfrica/CERI-KRISP-Tyg1890/2021	EPI_ISL_3827773	Division of Medical Virology, National Health Laboratory Service (NHLS), Tygerberg Hospital / Stellenbosch University	CERI, Centre for Epidemic Response and Innovation, Stellenbosch University and CERI-KRISP, KZN Research Innovation and Sequencing Platform	Susan Engelbrecht,Tongai Maponga,Wolfgang Preiser,Gert van Zyl,Shannon Wilson,Karabo Phadu,Bronwyn Kleinhans,Kamela Mahlakwane,Mathilda Claassen,Tania Stander,Carel J van Heerden,Alvera Vorster,Ren Veikondis, Giandhari Jennifer, Pillay Sureshnee, Yajna Ramphal, Naidoo Yeshnee, Tshiabuila Derek,Tegally Houriiyah, San James, Wilkinson Eduan, de Oliveira Tulio
4641	hCoV-19/SouthAfrica/Tygerberg_2287/2021	EPI_ISL_3856341	Division of Medical Virology, National Health Laboratory Service (NHLS), Tygerberg Hospital / Stellenbosch University	Division of Medical Virology, National Health Laboratory Service (NHLS), Tygerberg Hospital / Stellenbosch University	Susan Engelbrecht, Tongai Maponga, Bronwyn Kleinhans, Shannon Wilson, Kamela Mahlakwane, Gert van Zyl, Wolfgang Preiser
4642	hCoV-19/SouthAfrica/Tygerberg_1192/2021	EPI_ISL_2876321	Division of Medical Virology, National Health Laboratory Service (NHLS), Tygerberg Hospital / Stellenbosch University	Division of Medical Virology, National Health Laboratory Service (NHLS), Tygerberg Hospital / Stellenbosch University	Susan Engelbrecht, Tongai Maponga, Bronwyn Kleinhans, Tania Stander, Gert van Zyl, Wolfgang Preiser
4643	hCoV-19/SouthAfrica/Tygerberg_1219/2021	EPI_ISL_2876372	Division of Medical Virology, National Health Laboratory Service (NHLS), Tygerberg Hospital / Stellenbosch University	Division of Medical Virology, National Health Laboratory Service (NHLS), Tygerberg Hospital / Stellenbosch University	Susan Engelbrecht, Tongai Maponga, Bronwyn Kleinhans, Tania Stander, Gert van Zyl, Wolfgang Preiser
4644	hCoV-19/SouthAfrica/Tygerberg_1263/2021	EPI_ISL_3032472	Division of Medical Virology, National Health Laboratory Service (NHLS), Tygerberg Hospital / Stellenbosch University	Division of Medical Virology, National Health Laboratory Service (NHLS), Tygerberg Hospital / Stellenbosch University	Susan Engelbrecht, Tongai Maponga, Kamela Mahlakwane, Gert van Zyl, Wolfgang Preiser
4645	hCoV-19/SouthAfrica/CERI-KRISP-Tyg1773/2021	EPI_ISL_3827699	Division of Medical Virology, National Health Laboratory Service (NHLS), Tygerberg Hospital / Stellenbosch University	CERI, Centre for Epidemic Response and Innovation, Stellenbosch University and CERI-KRISP, KZN Research Innovation and Sequencing Platform	Susan Engelbrecht,Tongai Maponga,Wolfgang Preiser,Gert van Zyl,Shannon Wilson,Karabo Phadu,Bronwyn Kleinhans,Kamela Mahlakwane,Mathilda Claassen,Tania Stander,Carel J van Heerden,Alvera Vorster,Ren Veikondis, Giandhari Jennifer, Pillay Sureshnee, Yajna Ramphal, Naidoo Yeshnee, Tshiabuila Derek,Tegally Houriiyah, San James, Wilkinson Eduan, de Oliveira Tulio
4646	hCoV-19/SouthAfrica/Tygerberg_2065/2021	EPI_ISL_3666751	Division of Medical Virology, National Health Laboratory Service (NHLS), Tygerberg Hospital / Stellenbosch University	Division of Medical Virology, National Health Laboratory Service (NHLS), Tygerberg Hospital / Stellenbosch University	Susan Engelbrecht, Tongai Maponga, Bronwyn Kleinhans, Shannon Wilson, Kamela Mahlakwane, Gert van Zyl, Wolfgang Preiser
4647	hCoV-19/SouthAfrica/Tygerberg_1593/2021	EPI_ISL_3482630	Division of Medical Virology, National Health Laboratory Service (NHLS), Tygerberg Hospital / Stellenbosch University	Division of Medical Virology, National Health Laboratory Service (NHLS), Tygerberg Hospital / Stellenbosch University	Susan Engelbrecht, Tongai Maponga, Bronwyn Kleinhans, Shannon Wilson, Tania Stander, Kamela Mahlakwane, Gert van Zyl, Wolfgang Preiser
4648	hCoV-19/SouthAfrica/Tygerberg_2074/2021	EPI_ISL_3666759	Division of Medical Virology, National Health Laboratory Service (NHLS), Tygerberg Hospital / Stellenbosch University	Division of Medical Virology, National Health Laboratory Service (NHLS), Tygerberg Hospital / Stellenbosch University	Susan Engelbrecht, Tongai Maponga, Bronwyn Kleinhans, Shannon Wilson, Kamela Mahlakwane, Gert van Zyl, Wolfgang Preiser
4649	hCoV-19/India/GJ-ICMR-NIV-INSACOG-GSEQ-3910/2021	EPI_ISL_2547191	ICMR-National Institute of Virology - INSACOG	NIV Influenza	Dr. Varsha Potdar and NIC Team
4650	hCoV-19/SouthKorea/KDCA8325/2021	EPI_ISL_3544765	Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Ae Kyung Park, Il-Hwan Kim, Heui Man Kim, Jeong-Ah Kim, Chae Young Lee, Eun-Jin Kim
4651	hCoV-19/SouthKorea/KDCA10183/2021	EPI_ISL_3869845	Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Ae Kyung Park, Il-Hwan Kim, Heui Man Kim, Jeong-Ah Kim, Chae Young Lee, Eun-Jin Kim
4652	hCoV-19/SouthKorea/KDCA8558/2021	EPI_ISL_3544904	Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Ae Kyung Park, Il-Hwan Kim, Heui Man Kim, Jeong-Ah Kim, Chae Young Lee, Eun-Jin Kim
4653	hCoV-19/SouthKorea/KDCA9802/2021	EPI_ISL_3869606	Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Ae Kyung Park, Il-Hwan Kim, Heui Man Kim, Jeong-Ah Kim, Chae Young Lee, Eun-Jin Kim
4654	hCoV-19/CostaRica/HNN-1014/2021	EPI_ISL_3761787	HOSPITAL NACIONAL DE NIÑOS	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Cristian Pérez-Corrales & Valeria Peralta-Barquero
4655	hCoV-19/Iceland/7077/2021	EPI_ISL_3926046	The National University Hospital of Iceland	deCODE genetics	Daniel F Gudbjartsson; Agnar Helgason; Hakon Jonsson; Olafur T Magnusson; Pall Melsted; Gudmundur L Norddahl; Jona Saemundsdottir; Asgeir Sigurdsson; Patrick Sulem; Arna B Agustsdottir; Hannes Eggertsson; Berglind Eiriksdottir; Run Fridriksdottir; Elisabet E Gardarsdottir; Gudmundur Georgsson; Olafia S Gretarsdottir; Kjartan R Gudmundsson; Thora R Gunnarsdottir; Arnaldur Gylfason; Hilma Holm; Brynjar O Jensson; Aslaug Jonasdottir; Kamilla S Josefsdottir; Thordur Kristjansson; Droplaug N Magnusdottir; Kristjan E Hjorleifsson; Solvi Rognvaldsson; Louise le Roux; Gudrun Sigmundsdottir; Gardar Sveinbjornsson; Kristin E Sveinsdottir; Maney Sveinsdottir; Emil A Thorarensen; Bjarni Thorbjornsson; Gisli Masson; Ingileif Jonsdottir; Alma Moller; Thorolfur Gudnason; Karl G Kristinsson; Unnur Thorsteinsdottir; Kari Stefansson
